Sample ID,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Zr,Nb,Ba,La,Ce,Nd,Sm,Yb,Lu,Hf,Pb,Th,U,Island,Group,Ocean
183,-23.8749698579181,-147.685379534651,44.58414923219622,1.9993816345460163,11.388230444192518,12.264248170668864,0.2061218179944347,14.97475007729568,11.35731217149335,2.2467278161393383,0.6698959084819127,0.309182726991652,20.0,446.0,154.0,52.0,350.0,37.4,69.6,30.9,5.78,1.47,0.23,4.02,2.31,4.51,1.05,Raivavae,Austral-Cook,Pacific
190,-23.87,-147.67,43.53692450303843,2.6573282521371926,11.80348130600474,12.730456277680505,0.1956947162426615,12.462663508085283,13.472036255021116,2.317437429189412,0.5046863734679164,0.31929137913276345,14.0,497.0,168.0,62.0,270.0,37.4,76.1,33.9,6.47,1.35,0.18,3.95,2.28,4.71,1.01,Raivavae,Austral-Cook,Pacific
186,-27.60005,-144.334883333333,47.26694697979694,2.95354322633576,12.675623013024303,10.634806686493691,0.15383037637165417,12.501281919803095,9.8759101630602,2.3689877961234744,1.1075787098759102,0.46149112911496254,25.0,626.0,245.0,48.0,242.0,32.7,69.2,36.2,7.31,1.43,0.2,6.19,3.32,3.94,1.03,Rapa,Austral-Cook,Pacific
188,-27.6361111111111,-144.317777777778,44.63753213367608,3.084832904884318,11.434447300771206,12.586118251928019,0.16452442159383032,14.601542416452439,10.210796915167093,1.8097686375321336,1.0077120822622105,0.4627249357326477,20.0,549.0,213.0,46.0,229.0,28.5,63.0,30.5,6.51,1.17,0.14,5.22,2.74,3.27,0.81,Rapa,Austral-Cook,Pacific
244,-23.39,-149.47,43.48228043143297,2.7837699024139697,12.36774524910118,13.384694401643552,0.21571648690292758,11.566512583461733,12.275295326142782,2.722136620441705,0.7806882383153569,0.42116076014381093,21.9,527.0,209.87078686797,63.5956827194216,250.0,38.5,77.3,36.9,7.32,1.81,0.254,4.88434766492703,2.5,4.08,1.07,Tubuai,Austral-Cook,Pacific
399,-23.38,-149.45,45.91631462482398,2.544759605713136,12.381814524240598,12.411989539328104,0.2112251056125528,10.812713739690205,12.180647756990547,2.4140012070006036,0.7443170388251862,0.3822168577750956,18.8,494.0,176.0,60.5,238.0,40.0,74.5,32.01,7.5,1.93,0.28,4.7,2.73,4.72,1.23,Tubuai,Austral-Cook,Pacific
400,-23.38,-149.45,45.921541085582426,2.4079462225343633,11.618340523728303,12.451088592354772,0.20066218521119697,11.758804053376142,12.360790609009733,2.1671516002809272,0.7524831945419885,0.3611919333801545,21.5,427.0,165.0,59.0,216.0,39.1,71.9,31.04,7.05,1.84,0.27,4.31,2.02,3.83,0.894,Tubuai,Austral-Cook,Pacific
401,-23.38,-149.45,47.92306929711509,2.6767126003767223,15.217606820660254,12.54089422028353,0.19827500743531276,6.3745414890453045,11.093486666005747,2.865073857440269,0.7435312778824228,0.36680876375532856,19.2,427.0,171.0,53.7,214.0,36.8,70.4,33.69,7.41,2.32,0.34,4.32,1.56,4.06,1.14,Tubuai,Austral-Cook,Pacific
403,-23.38,-149.45,42.81449044585988,2.6671974522292996,11.932722929936308,12.609474522292995,0.2189490445859873,12.350716560509555,10.977308917197453,4.478503184713376,1.1544585987261147,0.7961783439490447,32.0,1056.0,257.0,130.0,506.0,95.1,167.0,68.01,12.0,2.03,0.27,5.89,6.14,12.2,3.14,Tubuai,Austral-Cook,Pacific
436,-23.3733,-149.4733,44.585414585414576,1.9980019980019976,10.019980019980016,13.296703296703294,0.22977022977022973,14.365634365634364,12.777222777222775,1.8981018981018978,0.5394605394605394,0.2897102897102896,13.1866644719861,370.87493827461,148.991914063977,40.8977109487635,202.645569288405,28.9493670412007,59.7624272395603,28.3488436905606,5.64906103636592,1.65723737074914,0.235239491836939,3.74188170554004,1.58538164568979,3.24903840398025,0.799524364421144,Tubuai,Austral-Cook,Pacific
