Sample ID,Group,Island,Ocean,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Zr,Nb,Ba,La,Ce,Nd,Sm,Yb,Lu,Hf,Pb,Th,U
14794,Hawaii,Hawaii,Pacific,19.74,-155.05,43.9677711,2.845422849,10.29364639,13.38100939,0.147514545,18.15681983,8.267510886,1.917736521,0.587558624,0.34274253,9.636367931,418.9464878,203.153764,20.22819591,170.4964955,15.91691615,40.79526049,26.9436293,6.794317374,1.700605289,0.235494945,4.939301527,1.112596316,1.354508722,0.419370305
15823,Hawaii,Oahu,Pacific,21.3742,-157.7914,44.64532372,1.851393919,9.854496599,12.49010431,0.174004772,16.94998762,9.784442176,2.816356185,0.885059038,0.425830292,26.9801461,567.1364935,112.4412837,30.4488159,383.572579,23.4643968,47.35478728,23.75047786,5.123707249,1.172558368,0.164478149,2.786390583,2.336370844,2.513190626,0.767999718
15824,Hawaii,Oahu,Pacific,21.3539,-157.7611,43.05959016,2.27787189,9.295316956,13.09120185,0.17252984,17.76401294,10.14953669,2.825282549,0.721813621,0.497597006,21.67247748,673.968461,129.8469362,36.51643626,456.0372849,28.63932276,58.43946205,29.99466531,6.413094246,1.044249604,0.138498197,3.265884847,2.553278304,3.058925703,0.875909685
15825,Hawaii,Oahu,Pacific,21.4308,-157.8075,42.46777613,2.343139524,8.884501877,13.18773614,0.186167313,17.89659982,10.78980202,2.648040188,0.930469427,0.520808826,26.48886557,666.5443522,136.5662434,39.130273,442.5039458,29.7813965,59.78669437,30.27637349,6.480908118,1.124791096,0.154005679,3.449307492,2.940526266,3.349494911,1.010145311
19639,Hawaii,Oahu,Pacific,21.22,-157.8,45.17090545,1.897030794,10.36348947,12.0800053,0.171907175,16.39059358,10.60287538,2.206344969,0.71348096,0.311635362,17.06006057,424.8961399,91.36823157,24.9490183,277.3970261,17.39475166,34.28692865,18.59553865,4.631568715,1.180516891,0.177318234,2.468032989,1.082622012,1.444288136,0.383467378
19640,Hawaii,Oahu,Pacific,21.22,-157.8,44.95046172,1.847978624,10.129133,12.37614725,0.161462316,16.79443988,10.51499102,2.176242349,0.647394477,0.311708452,15.66219144,415.528641,87.10433607,24.65609867,273.9409788,17.84456029,35.040346,19.16085114,4.715376591,1.151333669,0.174203756,2.420622949,1.108565026,1.485728906,0.415312225
19641,Hawaii,Oahu,Pacific,21.22,-157.8,45.30461596,1.957466337,10.69289805,11.74854983,0.17372784,15.94106454,10.76384904,2.229071961,0.754825137,0.335477839,18.55342511,454.8004948,96.82397585,26.98129584,299.9016186,18.80861467,36.7783883,19.87274387,4.875474772,1.24710922,0.180832696,2.564093341,1.149791849,1.579054555,0.417696804
19642,Hawaii,Oahu,Pacific,21.22,-157.8,45.54660482,1.683959249,10.60927506,11.74818911,0.172011842,15.93930703,10.86006098,2.34537499,0.623128545,0.368957691,14.5800885,500.4476267,87.07327186,25.75938188,304.484621,21.97559758,42.10393862,22.04858225,5.237800148,1.262524463,0.185424303,2.289015732,1.465035277,1.889034877,0.504769614
19643,Hawaii,Oahu,Pacific,21.22,-157.8,45.53618501,1.706635689,10.98921486,11.6518194,0.175029364,15.8155221,10.70732918,2.348791953,0.594246529,0.37352639,13.82560821,500.1997742,89.14203049,25.85886238,289.8821296,21.68339558,41.65507615,21.91785686,5.239407573,1.290824222,0.190808873,2.336227389,1.438882188,1.845676275,0.488762008
19649,Hawaii,Oahu,Pacific,21.55,-157.67,41.94511503,2.542384441,8.906511758,12.87946647,0.159757781,17.47962556,11.27706056,2.88238253,1.055913008,0.696120428,23.63411455,740.9937477,178.6450788,56.22338345,577.2128184,40.39143669,78.05917315,40.68935985,9.188882667,1.033257441,0.146684005,4.189317393,2.266723432,3.371520967,0.578789323
19650,Hawaii,Oahu,Pacific,21.55,-157.67,41.83949003,2.463701347,8.637284323,13.12622334,0.166827393,17.81444315,11.09561139,2.997802996,1.005271073,0.672758334,23.00201151,804.6346013,178.6375235,54.77532539,569.2975691,39.43658048,76.16424207,39.42108979,8.845532687,1.029325722,0.144997094,4.089454354,2.368416367,3.263593727,0.755994665
19651,Hawaii,Oahu,Pacific,21.55,-157.67,42.10487759,2.498508557,8.735286083,12.92674077,0.174615692,17.54060544,11.15976462,2.902739297,1.092502543,0.681845559,25.48852131,831.7671391,178.4891746,55.73663472,557.4656399,39.50992691,76.36022363,39.5818314,8.883168616,1.024508404,0.145451639,4.12710853,2.462695587,3.291139957,0.805245876
19652,Hawaii,Oahu,Pacific,21.55,-157.67,41.9511124,2.475264383,8.714562777,12.93688256,0.165072451,17.55840016,11.20091875,2.972647538,1.160643556,0.675145598,25.76060916,846.4989793,179.0522722,50.61960328,615.1182378,39.61287247,76.61457007,39.79084892,8.96391939,1.031759353,0.151069912,4.109351778,2.118380551,3.288809163,0.767017437
19653,Hawaii,Oahu,Pacific,21.55,-157.67,42.04664447,2.542753539,8.950389048,12.7049409,0.167895918,17.24544278,11.29016388,2.908354906,1.248196455,0.706526295,32.18745464,781.3031521,189.4922868,58.17548544,641.8103896,41.32867083,80.12421818,41.27965434,9.230951016,1.068602649,0.155236685,4.321599248,2.242131155,3.429279825,0.768933135
19654,Hawaii,Oahu,Pacific,21.55,-157.67,41.66224772,2.507217909,8.702750389,13.13452236,0.166733023,17.82262547,11.34290298,2.79782954,0.992137936,0.699880249,22.46018767,743.4217804,169.158127,50.77472489,549.6935333,39.53715609,76.520518,39.68801572,8.983914981,1.020530105,0.14376856,4.074796167,2.229377531,3.314009194,0.503897457
25860,Hawaii,Oahu,Pacific,21.56,-158.6668,44.9882487,2.099726627,9.434809294,12.31944182,0.17684861,16.72206143,10.6832973,1.979604874,1.119350131,0.357239404,22.84773834,513.626824,125.7493087,35.94381082,387.7199349,23.17268733,45.50937779,23.91037107,5.439995166,1.342005978,0.181410884,3.157758852,1.714951963,2.696212303,0.705680397
19458,Hawaii,Niihau,Pacific,22.045,-160.2233,42.84792879,1.992236241,10.91709725,12.52690574,0.169742101,17.00462938,10.74735515,2.367455623,0.91124707,0.410954561,18.75272066,525.7799531,98.19148858,25.34337176,282.9480346,19.88659885,40.03208818,21.38630189,4.837939573,1.162661777,0.179049285,2.517297779,1.499732112,1.526306851,0.437362493
23592,Hawaii,Niihau,Pacific,22.0,-160.0,44.25360882,2.191301901,11.47824806,11.68580246,0.144481444,15.8600662,9.27089266,3.07424406,1.252172515,0.602006017,28.7807749,887.5780212,184.5395954,43.00679479,551.9366543,41.29501371,78.07729582,37.25397372,7.580614779,1.45941938,0.216932037,3.954497408,2.356922775,2.891455157,0.830693221
23594,Hawaii,Niihau,Pacific,22.0,-160.0,44.08758142,2.159476561,11.24336166,11.97920703,0.140835428,16.25963348,8.974346431,3.106203603,1.267518851,0.594638473,28.92796483,895.8142422,182.1004791,42.97965583,550.0804837,40.39561669,76.37532652,36.50702387,7.40724052,1.431897366,0.218382563,3.835818803,2.224216398,2.851096809,0.821238632
26579,Hawaii,Niihau,Pacific,21.996252,-160.372478,44.05467301,2.175418963,11.24364893,11.93915993,0.143434217,16.20024761,9.147915639,3.05992997,1.259033685,0.589674005,28.88660297,887.1778069,184.8219304,43.22060934,550.4434115,40.80317002,77.28164754,37.02151305,7.486528593,1.445043921,0.221563522,3.940328849,2.225978692,2.846555665,0.817793862
26580,Hawaii,Niihau,Pacific,21.965306,-160.384499,42.38334421,2.202968061,11.08568869,12.74117789,0.163368044,17.29313462,8.826875431,3.142334313,1.333616685,0.634301436,32.38812576,1001.611929,143.6730426,43.19570541,564.710385,33.44478589,63.66161706,31.9178744,6.646430958,1.28393353,0.199133691,3.112967722,2.361733648,2.930861024,0.767802182
26581,Hawaii,Niihau,Pacific,21.965303,-160.384533,42.17818327,2.261657688,11.21440831,12.54084399,0.170691146,17.01356042,9.191718225,3.251666336,1.339925498,0.648626356,30.93498137,975.8510953,143.1551035,42.57634849,547.1468064,33.80259587,63.70922684,32.32077958,6.801532097,1.333577223,0.204152704,3.117268443,2.53294018,3.023689163,0.677576757
26582,Hawaii,Niihau,Pacific,21.965661,-160.383947,42.9019837,2.277773357,11.60788345,11.90473328,0.175213335,16.15051175,9.540366098,3.2414467,1.305339347,0.692092674,32.67659832,1066.493893,146.4123023,44.82698972,583.8598636,34.59825315,66.46789072,33.46380004,6.999664736,1.363407851,0.19998353,3.153534973,2.339287869,2.936610381,0.770967872
26583,Hawaii,Niihau,Pacific,22.0,-160.0,42.62649149,2.243967603,11.325024,12.42035199,0.166544471,16.84980686,9.659579293,2.778663009,1.174576792,0.587288396,25.95896626,869.5408968,119.7545392,35.60709612,493.7229264,29.51907474,58.00566722,29.20700005,6.230351016,1.252575765,0.191602414,2.794307118,2.117539773,2.542357198,0.616065574
26584,Hawaii,Niihau,Pacific,21.943938,-160.348703,43.20884754,2.395306142,11.68728619,11.21949612,0.189816713,15.22052256,10.37664698,3.19976745,1.473339249,0.82253909,35.94271151,993.0743407,157.9866556,46.90117741,653.5682973,41.93110164,77.81408905,37.14698298,7.637214068,1.510200133,0.226277803,3.575043924,2.645273692,3.511563491,0.84855212
26585,Hawaii,Niihau,Pacific,21.9444,-160.348817,42.58091014,2.279732751,11.30108764,11.91918321,0.186281664,16.16998813,10.06808044,3.069212186,1.419288872,0.79834999,35.82359315,1015.190954,156.1124045,46.75644055,649.9721952,41.59976538,77.22908129,36.62611179,7.514185079,1.467160689,0.221198466,3.4839023,2.575564294,3.421820197,0.855454433
26586,Hawaii,Niihau,Pacific,21.9451,-160.34988,42.83165009,2.367299221,11.47645059,11.60705187,0.189023892,15.74789587,10.25229586,3.051385687,1.467185449,0.801101257,37.01676784,1007.324912,160.8832297,47.83786499,657.7837781,41.69221326,77.60211585,37.00939621,7.61479721,1.459603131,0.215119883,3.56627959,2.297175015,3.458714175,0.840100577
15155,Hawaii,Maui,Pacific,20.71,-156.2108,43.46065157,2.499964332,8.963670937,13.29022338,0.159849254,18.03057922,9.954726513,2.301998157,0.862389167,0.349780221,22.81781084,547.2615935,162.4560516,36.43478464,376.8340025,22.63577066,50.03793077,27.38795322,5.92544367,1.233737812,0.174112402,4.061733836,1.544488761,2.214230265,0.652810051
15157,Hawaii,Maui,Pacific,20.7136,-156.1761,43.44921438,2.358254656,9.14797587,13.2759733,0.159254404,18.0122352,10.79612186,1.817265481,0.623175015,0.262016768,16.43823773,419.3878712,134.7456485,26.37586402,296.3210289,17.22948073,38.82586037,22.362192,5.135374586,1.269870078,0.185027519,3.609175066,1.036314483,1.726587135,0.482234171
15158,Hawaii,Maui,Pacific,20.7244,-156.1548,44.17791168,2.401197811,9.253070767,12.8927113,0.158958947,17.49734404,10.82137265,1.869217469,0.57443115,0.259194543,15.76129135,416.7741946,132.8080273,25.9768048,265.6328616,16.33308148,37.43406987,21.86473354,5.076394572,1.240765741,0.174595643,3.605561003,1.043345193,1.67770927,0.492941715
15161,Hawaii,Maui,Pacific,20.7294,-156.1681,44.50012882,2.385826685,9.130054521,12.81227527,0.155554594,17.38944758,10.66799229,1.968052301,0.628608584,0.263610051,17.60974321,428.015802,135.9999994,27.12313444,282.9427658,17.1094524,39.16853644,22.76419227,5.262763437,1.273472313,0.185484193,3.695730589,1.073988379,1.752936465,0.515065833
15162,Hawaii,Maui,Pacific,20.7224,-156.2014,43.90664927,2.451696585,9.484595633,12.85345834,0.157999013,17.4383021,10.76468177,1.929770929,0.648366884,0.264924103,18.4007385,426.7340024,133.5310631,27.57180585,296.7522717,17.25597687,39.31066795,22.40370668,5.202220219,1.304987218,0.190036425,3.581581752,1.035236352,1.769900403,0.509520065
18408,Hawaii,Maui,Pacific,20.91,-156.59,44.93279013,1.877942541,10.43661782,11.88842427,0.17698531,16.13735501,9.501923383,3.393614976,1.114869178,0.386542233,32.0034652,647.634709,163.4765384,41.14821227,511.041861,31.88592989,57.02076761,25.97644822,6.047736332,1.407516087,0.200173482,3.981241599,2.24498188,4.274015776,1.007909401
18688,Hawaii,Maui,Pacific,20.6339,-156.4519,44.50952124,2.143258657,9.476596285,13.08062622,0.159000284,17.74536573,10.26053797,1.612735611,0.666132988,0.25469846,16.18823323,382.0256504,113.7255101,23.31421661,285.856825,19.05222813,39.44231495,21.61030198,5.174740187,1.233542819,0.168992767,3.093378975,2.009299836,1.86159645,0.508631558
18689,Hawaii,Maui,Pacific,20.6089,-156.4283,44.02453233,2.316475097,9.590629451,12.95793199,0.161510545,17.58916258,10.35574394,1.951606235,0.700204322,0.256622807,17.23027743,406.4199426,117.3002126,24.57489979,296.7492311,18.9474514,39.62698646,21.49922613,5.212468516,1.302234583,0.179567522,3.168285175,1.25687068,1.844363208,0.495001904
18690,Hawaii,Maui,Pacific,20.5821,-156.2981,45.06577469,2.123563016,10.26558804,12.31059219,0.163771521,16.70522998,9.570250824,2.467212013,0.8785471,0.333288661,21.59803147,489.7405285,142.9694682,31.02995632,362.3767421,23.83071401,48.89224983,25.58215011,5.80830105,1.45857486,0.204395442,3.570657025,1.774557378,2.363370448,0.619986369
